"CICRQL7L,""journalArticle"",""2016"",""Ebenstein, Avraham"; Lavy, Victor;" Roth, Sefi"",""The Long-Run Economic Consequences of High-Stakes Examinations: Evidence from Transitory Variation in Pollution"",""American Economic Journal: Applied Economics"","""","""",""10.1257/app.20150213"","""",""Cognitive performance during high-stakes exams can be affected by random disturbances that, even if transitory, may have permanent consequences. We evaluate this hypothesis among Israeli students who took a series of matriculation exams between 2000 and 2002. Exploiting variation across the same student taking multiple exams, we find that transitory PM2.5 exposure is associated with a significant decline in student performance. We then examine these students in 2010 and find that PM2.5 exposure during exams is negatively associated with postsecondary educational attainment and earnings. The results highlight how reliance on noisy signals of student quality can lead to allocative inefficiency."",""2016"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""36-65"","""",""4"",""8"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ICIITRBC,""journalArticle"",""2022"",""He, Xiaobo"; Luo, Zijun;" Zhang, Junjie"",""The impact of air pollution on movie theater admissions"",""Journal of Environmental Economics and Management"","""","""",""10.1016/j.jeem.2022.102626"","""",""We provide new evidence of pollution avoidance in the movie theater market. Our analysis is based on a unique dataset of high-frequency movie ticket sales in China at the movie- and city-level during 2012–2014. We estimate that one pollution day reduces the market share of a movie by 2.26%, other things being equal. The effect is mainly through ambient pollution exposure during transportation to the theater. On average, popular movies are inelastic to air pollution. However, as air quality deteriorates, even blockbuster movies start to suffer a box-office loss during the heavy pollution episodes."",""2022"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""102626-102626"","""",""NA"",""112"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"I6HYV26T,""journalArticle"",""2018"",""Thomas, Jith K."; Guénette, Josée;" Thomson, Errol M."",""Stress axis variability is associated with differential ozone-induced lung inflammatory signaling and injury biomarker response."",""Environmental research"","""","""",""10.1016/j.envres.2018.09.007"","""",""Abstract Ozone (O3), a ubiquitous urban air pollutant, causes adverse pulmonary and extrapulmonary effects. A large variability in acute O3-induced effects has been observed";" however, the basis for interindividual differences in susceptibility is unclear. We previously demonstrated a role for the hypothalamic-pituitary-adrenal (HPA) stress axis and glucocorticoid response in acute O3 toxicity. Glucocorticoids have important anti-inflammatory actions, and have been shown to regulate lung inflammatory responses. We hypothesised that a hyporesponsive HPA axis would be associated with greater O3-dependent lung inflammatory signaling. Two genetically-related rat strains with known differences in stress axis reactivity, highly-stress responsive Fischer (F344) and less responsive Lewis (LEW), were exposed for 4 h by nose-only inhalation to clean air or 0.8 ppm O3, and euthanized immediately after exposure. As expected, baseline (air-exposed) plasma corticosterone was significantly lower in the hypo-stress responsive LEW. Although O3 exposure increased plasma corticosterone in both strains, corticosterone remained significantly lower in LEW when compared to F334. LEW exhibited greater O3-induced inflammatory cytokine/chemokine signaling compared to F344, consistent with the lower corticosterone levels. Since we observed strain-specific differences in inflammatory signaling, we further investigated injury biomarkers (total protein, albumin and lactate dehydrogenase). Although the hyper-responsive F344 exhibited lower inflammatory signaling in response to O3 compared with LEW, they had greater levels of lung injury biomarkers. Our results indicate that stress axis variability is associated with differential O3-induced lung toxicity. Given the large variability in stress axis reactivity among humans, stress axis regulation could potentially be a determining factor underlying O3 sensitivity."",""2018"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""751-758"","""",""NA"",""167"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"P7GIAKQT,""journalArticle"",""2017"",""Shrader, Jeffrey"",""Expectations and adaptation to environmental risks"",""SSRN Electronic Journal"","""","""",""10.2139/ssrn.3212073"","""",""Climate change is projected to severely damage the global economy. Adaptation in response to a changing climate will affect how much damage ultimately occurs. A major source of uncertainty in existing damage estimates is the extent to which they include or exclude such adaptation. This paper shows how to estimate damages while accounting for forward-looking adaptation using an empirical strategy that compares responses to forecasts and to realizations of weather. The empirical strategy is applied to study climate damages and adaptation in a fishery using a novel dataset of climate forecasts and detailed, firm-level records. Empirically, the benefit of forward-looking adaptation is large and important, and accounting for adaptation substantially changes the estimated damages from climate variation. Mechanism analysis shows that firms adapt by reducing production costs and timing entry into the fishery."",""2017"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""NA-NA"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"KI9Z3DX8,""journalArticle"",""2024"",""Wang, Qian"; Zhang, Songzi;" Ren, Shuming"",""Does haze pollution inhibit innovation efficiency in China? The mediating role of human capital and the moderating role of government attention"",""Journal of Cleaner Production"","""","""",""10.1016/j.jclepro.2024.144261"","""",""NA"",""2024"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""144261-144261"","""",""NA"",""483"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"G4SR5VCM,""journalArticle"",""2026"",""Greenlee, Stuart"",""Thermodynamic Waste, Health Capital, and Long-Run Growth A Thermo-Ecological Augmentation of the Solow Model"",""NA"","""","""",""10.2139/ssrn.6833902"","""",""<jats:p>This paper develops a thermo-ecological augmentation of the Solow growth model that treats production as a physical throughput process generating both useful output and unavoidable thermodynamic waste. We introduce three coupled state variables absent from the standard framework: (i) physical thermodynamic output (TO)-the energy waste, emissions, and material inefficiency created as a byproduct of production, valued at shadow prices derived from the social cost of carbon and analogous pollutant valuations"; (ii) health capital (H)-a stock variable linking pollution exposure to effective labor supply, cognitive performance, and total factor productivity;" and (iii) natural capital (R)-resource stocks subject to depletion and regeneration dynamics. We derive the modified Solow steady state in closed form and show that it depends on a thermo-ecological multiplier Ω = ϕ(TO/Y) • ζ(H) • θ(H) that is strictly less than unity when thermodynamic waste and health damage are positive. The steadystate capital intensity and output per worker are reduced by a factor that depends on pollution intensity, health capital, and the elasticity of damage. We characterize the thermodynamic growth trap: economies that allow waste intensity to rise converge to permanently lower balanced growth paths. We define Thermo-GDPa damage-adjusted output measure-and connect it to existing green accounting frameworks (SEEA, Adjusted Net Savings, Inclusive Wealth). Extensions to Ramsey optimal growth, Hotelling resource extraction, and DSGE environmental shocks are previewed for companion papers.</jats:p>"",""2026"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""NA-NA"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"U75KIGAD,""journalArticle"",""2020"",""Pandey, Anamika"; Brauer, Michael; Cropper, Maureen L.; Balakrishnan, Kalpana; Mathur, Prashant; Dey, Sagnik; Turkgulu, Burak; Kumar, G Anil; Khare, Mukesh; Beig, Gufran; Gupta, Tarun; Krishnankutty, Rinu P; Causey, Kate; Cohen, Aaron; Bhargava, Stuti; Aggarwal, Ashutosh N.; Agrawal, Anurag; Awasthi, Shally; Bennitt, Fiona B.; Bhagwat, Sadhana; Bhanumati, P; Burkart, Katrin; Chakma, Joy K; Chiles, Thomas C.; Chowdhury, Sourangsu; Christopher, D J; Dey, Subhojit; Fisher, Samantha; Fraumeni, Barbara; Fuller, Richard; Ghoshal, Aloke Gopal; Golechha, Mahaveer; Gupta, Prakash C.; Gupta, Rachita; Gupta, Rajeev; Gupta, Shreekant; Guttikunda, Sarath K.; Hanrahan, David; Harikrishnan, Sivadasanpillai; Jeemon, Panniyammakal; Joshi, T.K.; Kant, Rajni; Kant, Surya; Kaur, Tanvir; Koul, Parvaiz A; Kumar, Praveen; Kumar, Rajesh; Larson, Samantha Leigh; Lodha, Rakesh; Madhipatla, Kishore K; Mahesh, Padukudru Anand; Malhotra, Ridhima; Managi, Shunsuke; Martin, Keith; Mathai, Matthews; Mathew, Joseph L.; Mehrotra, Ravi; Mohan, B V Murali; Mohan, Viswananthan; Mukhopadhyay, Satinath; Mutreja, Parul; Naik, Nitish; Nair, Sanjeev; Pandian, Jeyaraj D; Pant, Pallavi; Perianayagam, Arokiasamy; Prabhakaran, Dorairaj; Prabhakaran, Poornima; Rath, Goura Kishor; Ravi, Shamika; Roy, Ambuj; Sabde, Yogesh; Salvi, Sundeep; Sambandam, Sankar; Sharma, Bhavay; Sharma, Meenakshi; Sharma, Shweta; Sharma, Rohit; Shrivastava, Aakash; Singh, Sujeet Kumar; Singh, Virendra; Smith, Rodney B.W.; Stanaway, Jeffrey D.; Taghian, Gabrielle; Tandon, Nikhil; Thakur, JS; Thomas, Nihal; Toteja, G S; Varghese, Chris M; Venkataraman, Chandra; Venugopal, Krishnan N; Walker, Katherine; Watson, Alexandrea; Wozniak, Sarah; Xavier, Denis; Yadama, Gautam N.; Yadav, Geetika; Shukla, D K; Bekedam, Hendrik J; Reddy, K. Srinath; Guleria, Randeep; Vos, Theo; Lim, Stephen S; Dandona, Rakhi; Kumar, Sunil; Kumar, Pushpam; Landrigan, Philip J.;" Dandona, Lalit"",""Health and economic impact of air pollution in the states of India: the Global Burden of Disease Study 2019"",""The Lancet. Planetary health"","""","""",""10.1016/s2542-5196(20)30298-9"","""",""Summary Background The association of air pollution with multiple adverse health outcomes is becoming well established, but its negative economic impact is less well appreciated. It is important to elucidate this impact for the states of India. Methods We estimated exposure to ambient particulate matter pollution, household air pollution, and ambient ozone pollution, and their attributable deaths and disability-adjusted life-years in every state of India as part of the Global Burden of Disease Study (GBD) 2019. We estimated the economic impact of air pollution as the cost of lost output due to premature deaths and morbidity attributable to air pollution for every state of India, using the cost-of-illness method. Findings 1·67 million (95% uncertainty interval 1·42–1·92) deaths were attributable to air pollution in India in 2019, accounting for 17·8% (15·8–19·5) of the total deaths in the country. The majority of these deaths were from ambient particulate matter pollution (0·98 million [0·77–1·19]) and household air pollution (0·61 million [0·39–0·86]). The death rate due to household air pollution decreased by 64·2% (52·2–74·2) from 1990 to 2019, while that due to ambient particulate matter pollution increased by 115·3% (28·3–344·4) and that due to ambient ozone pollution increased by 139·2% (96·5–195·8). Lost output from premature deaths and morbidity attributable to air pollution accounted for economic losses of US$28·8 billion (21·4–37·4) and $8·0 billion (5·9–10·3), respectively, in India in 2019. This total loss of $36·8 billion (27·4–47·7) was 1·36% of India's gross domestic product (GDP). The economic loss as a proportion of the state GDP varied 3·2 times between the states, ranging from 0·67% (0·47–0·91) to 2·15% (1·60–2·77), and was highest in the low per-capita GDP states of Uttar Pradesh, Bihar, Rajasthan, Madhya Pradesh, and Chhattisgarh. Delhi had the highest per-capita economic loss due to air pollution, followed by Haryana in 2019, with 5·4 times variation across all states. Interpretation The high burden of death and disease due to air pollution and its associated substantial adverse economic impact from loss of output could impede India's aspiration to be a $5 trillion economy by 2024. Successful reduction of air pollution in India through state-specific strategies would lead to substantial benefits for both the health of the population and the economy. Funding UN Environment Programme"; Bill & Melinda Gates Foundation;" and Indian Council of Medical Research, Department of Health Research, Ministry of Health and Family Welfare, Government of India."",""2020"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""e25-e38"","""",""1"",""5"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"A6CGKYYE,""journalArticle"",""2021"",""Wang, Lujing";" Zhang, Ming"",""Exploring the impact of narrowing urban-rural income gap on carbon emission reduction and pollution control."",""PloS one"","""","""",""10.1371/journal.pone.0259390"","""",""Over the past four decades, China have experienced rapid economic growth but also a widening urban-rural income gap and deteriorating air quality. Based on the panel data of 30 provinces in China from 2006 to 2017, this paper investigates the effect of narrowing the urban-rural income gap on carbon emission reduction and pollution control by using OLS method. The empirical results indicate that: the narrowing of the urban-rural income gap has a positive impact on pollution control, while there are regional differences in the impact on carbon emission reduction. In the perspective of the whole country and central and western regions, the narrowing of the urban-rural income gap is conducive to carbon emission reduction. However, the narrowing of the urban-rural income gap increases carbon emissions in the eastern regions where economic development is at high level. This paper provides a theoretical basis and policy reference for promoting urban-rural integration and construction of ecological civilization."",""2021"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""e0259390-NA"","""",""11"",""16"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"J5F6WDI3,""journalArticle"",""2020"",""Patel, Pankaj C."; Devaraj, Srikant; Quigley, Narda R.;" Oghazi, Pejvak"",""The influence of sunlight on taxi driver productivity"",""Journal of Business Research"","""","""",""10.1016/j.jbusres.2019.11.007"","""",""NA"",""2020"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""456-468"","""",""NA"",""115"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"75JNDMH7,""journalArticle"",""2025"",""Rizu, Mubdiul Islam"; Fadil, Dalal;" Llobet, Eduard"",""UV-enhanced exfoliated MoS2/PtSe2 heterostructure for ultra-sensitive NO2 detection at room temperature"",""npj 2D Materials and Applications"","""","""",""10.1038/s41699-025-00548-2"","""",""<jats:title>Abstract</jats:title> <jats:p>We report a MoS<jats:sub>2</jats:sub>/PtSe<jats:sub>2</jats:sub> heterostructure-based gas sensor for detecting trace levels of NO<jats:sub>2</jats:sub> gas at room temperature. Both MoS<jats:sub>2</jats:sub> and PtSe<jats:sub>2</jats:sub> were synthesized by mechanical exfoliation, and the heterostructure was prepared using deterministic dry transfer method. Comprehensive characterization was performed using optical microscopy, field emission scanning electron microscopy, energy-dispersive X-ray spectroscopy, high resolution transmission electron microscopy, Raman spectroscopy and atomic force microscopy. The lateral shape of the heterostructure efficiently adsorbed NO<jats:sub>2</jats:sub> molecules. The sensor exhibited limited response and recovery in dark conditions. However, under UV illumination, the sensor showed remarkable response of 2180% and 117% towards 800 ppb and 50 ppb NO<jats:sub>2</jats:sub>, respectively, with complete recovery. The theoretical limit of detection was found to be 3 ppb, and the sensitivity towards NO<jats:sub>2</jats:sub> sensing was 3.217% ppb<jats:sup>−1</jats:sup>, which is noteworthy. Furthermore, the sensor demonstrated distinct selectivity, excellent repeatability and stability. These findings are expected to significantly advance ongoing research on TMDC-based heterostructures for gas sensing application.</jats:p>"",""2025"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""NA-NA"","""",""1"",""9"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FT8Q2I9Y,""bookSection"",""2026"",""Behrer, A. Patrick"; Park, R. Jisung;" Zhang, Yujie"",""Climate change and human capital"",""Handbook of the Economics of Climate Change"","""","""",""10.1016/bs.hesecc.2026.03.001"","""",""NA"",""2026"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""385-456"","""","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2A5AETNW,""journalArticle"",""2019"",""Asongu, Simplice A.";" Odhiambo, Nicholas M."",""Governance, CO2 emissions and inclusive human development in sub-Saharan Africa:"",""Energy Exploration & Exploitation"","""","""",""10.1177/0144598719835594"","""",""This study investigates the relevance of government quality in moderating the incidence of environmental degradation on inclusive human development in 44 sub-Saharan African countries for the perio..."",""2019"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""18-36"","""",""1"",""38"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"HX9NTMUN,""journalArticle"",""2021"",""Zhu, Yongjian"; Xie, Jingui; Yu, Yugang; Zheng, Zhichao; Luo, Haidong;" Ooi, Oon Cheong"",""Air Pollution and Doctors' Work Performance: Evidence from Extubation Failure in the Intensive Care Unit"",""SSRN Electronic Journal"","""","""",""10.2139/ssrn.4163713"","""",""NA"",""2021"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""NA-NA"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GMNADNQ8,""journalArticle"",""2019"",""Jung, Miyeon"; Cho, Daegon;" Shin, Kwangsoo"",""The Impact of Particulate Matter on Outdoor Activity and Mental Health: A Matching Approach"",""International journal of environmental research and public health"","""","""",""10.3390/ijerph16162983"","""",""Exposure to air pollution affects human activity and health. Particularly, in Asian countries, the influence of particulate matter on humans has received wide attention. However, there is still a lack of research about the effects of particulate matter on human outdoor activities and mental health. Therefore, we aimed to explore the association between exposure to particulate matter with a diameter of less than 10 µm (PM10) and outdoor activity along with mental health in South Korea where issues caused by particulate matter increasingly have social and economic impacts. We examined this relationship by combining the physical and habitual factors of approximately 100,000 people in 2015 from the Korean National Health Survey. To measure each individual’s exposure to particulate matter, we computed the total hours exposed to a high PM10 concentration (>80 μg/m3) in a given district one month before the survey was conducted. After dividing all districts into six groups according to the exposed level of the high PM10, we applied the propensity score-weighting method to control for observable background characteristics. We then estimated the impact of the high PM10 on outdoor activity and mental health between the weighted individuals in each group. Our main findings suggest that the impact of PM10 on outdoor activity and stress shows an inverted-U shaped function, which is counterintuitive. Specifically, both outdoor activity and stress levels tend to be worsened when the exposure time to a high PM10 (>80 μg/m3) was more than 20 h. Related policy implications are discussed."",""2019"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""2983-NA"","""",""16"",""16"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"7ZLZP8DE,""journalArticle"",""2013"",""Boes, Stefan"; Nüesch, Stephan;" Stillman, Steven"",""Aircraft noise, health, and residential sorting: evidence from two quasi-experiments."",""Health economics"","""","""",""10.1002/hec.2948"","""",""SUMMARY We explore two unexpected changes in flight regulations to estimate the causal effect of aircraft noise on health. Detailed measures of noise are linked with longitudinal data on individual health outcomes based on the exact address information. Controlling for individual heterogeneity and spatial sorting into different neighborhoods, we find that aircraft noise significantly increases sleeping problems and headaches. Models that do not control for such heterogeneity and sorting substantially underestimate the negative health effects, which suggests that individuals self-select into residence based on their unobserved sensitivity to noise. Our study demonstrates that the combination of quasi-experimental variation and panel data is very powerful for identifying causal effects in epidemiological field studies. Copyright © 2013 John Wiley & Sons, Ltd."",""2013"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""1037-1051"","""",""9"",""22"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GZRPPSFQ,""journalArticle"",""2021"",""Ren, Song-yan"; Wang, Peng; Dai, Hancheng; Zhao, Daiqing;" Masui, Toshihiko"",""Health and Economic Impact Assessment of Transport and Industry PM2.5 Control Policy in Guangdong Province"",""Sustainability"","""","""",""10.3390/su132313049"","""",""PM2.5 pollution-related diseases lead to additional medical expenses and the loss of working hours, thus affecting the macro-economy. To evaluate the health-related economic impacts of PM2.5, the Integrated Assessment Model of Climate, Economic, and Environment (ICEEH), combined with the Computable General Equilibrium (CGE) model, the Greenhouse Gas and Air Pollution Interactions and Synergies (GAINS) model, and a health impact assessment module was constructed. The impact of different air pollution control strategies was analyzed in Guangdong Province by establishing a Without Control (WOC) scenario, an Air Control (AIC) scenario, and a Blue Sky (BLK) scenario. The results show that in the WOC scenario for 2035, the death rate for Guangdong Province is 71,690 persons/year and the loss of working hours is 0.67 h/person/year. In the AIC and BLK scenarios compared with WOC for 2035, the loss of working hours is reduced by 29.8% and 34.3%, and premature deaths are reduced by 33.0% and 37.5%, respectively";" GDP would increase by 0.05% and 0.11%, respectively, through strict pollution control policies. Furthermore, improved labor force quality induced by better air conditions would promote the added value in labor-intensive industries, such as agriculture (0.233%), other manufacturing (0.172%), textiles (0.181%), food (0.176%), railways transport (0.137%), and services (0.129%). The added value in the waste (−0.073%), nature gas (−0.076%), and crude oil sectors (−0.072%) would decrease because of the increased investment installment in PM2.5 treatment equipment."",""2021"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""13049-NA"","""",""23"",""13"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"KVPK2G8K,""journalArticle"",""2026"",""Forteza, Nicolás";" Labeaga, José M."",""Pollution, Density and Low Emission Zones: European Evidence"",""Documentos de Trabajo"","""","""",""10.53479/44145"","""",""<jats:p>Low emission zones (LEZs) have emerged as a primary policy instrument to combat urban air pollution in Europe, yet rigorous evidence on their effectiveness and spatial spillovers remains limited. Using a high-resolution geospatial panel dataset covering 1km grid cells across 33 European countries from 2007 to 2022, we estimate that LEZ adoption reduces PM2.5 exposure by approximately 4% within designated zones. We find robust evidence</jats:p> <jats:p>of positive spillovers: pollution also declines in areas adjacent to LEZ boundaries. These average effects mask substantial heterogeneity: reductions are concentrated in larger, denser cities and in cities with medium-sized zones relative to total urban area, while the smallest cities and zones show no detectable effect. These findings suggest LEZs generate city-wide environmental benefits extending beyond formal boundaries, consistent with network effects and technology spillovers dominating displacement mechanisms.</jats:p> <jats:p>To contextualize these results, we estimate the pollution-density elasticity for European cities using instrumental variables based on historical settlement patterns, finding that a 1% increase in population density raises PM2.5 exposure by 6% (approximately half the magnitude documented for US cities). We interpret our findings through a spatial equilibrium model that formalizes how LEZs alter the pollution production function in monocentric</jats:p> <jats:p>cities. Our results indicate that moderate-stringency LEZs, as typically implemented across Europe, deliver meaningful aggregate pollution reductions of approximately 1.8% city-wide, with modal shift complementarities and fleet renewal mechanisms dominating</jats:p> <jats:p>traffic displacement effects.</jats:p>"",""2026"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""NA-NA"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
