Authors.full.names,Title,Year,Source.title,Cited.by,DOI,Link,Abstract,Author.Keywords,Index.Keywords,Language.of.Original.Document,Source,Document.Type,doi_n
"Chen, Xiaoguang; Chen, Luoye; Xie, Wei; Mueller, Nathaniel D.; Davis, Steven J.",flight delays due to air pollution in china,2023,Journal of Environmental Economics and Management,NA,10.1016/j.jeem.2023.102810,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.jeem.2023.102810
"Lin, Chu; Sun, Wei; Wang, Heng",avoid the outdoors on polluted days evidence from china,2024,Applied Economics,NA,10.1080/00036846.2023.2301223,NA,"In this paper, we investigate the impacts of air pollution on overall outdoor activities in China. To address the shortcomings of previous studies, which mainly focused on specific outdoor activities, we provide new evidence of people’s avoidance behaviours on polluted days by using road traffic flow as a proxy for overall outdoor activities. Based on a novel daily road traffic flow data covering four major cities in China in 2018, we find that an increase of 100 points in air quality index (AQI) lead to a reduction in road traffic flow by approximately 0.9%. To overcome potential issues of endogeneity problems, we introduce an instrumental variable based on the AQI of surrounding cities weighted by distance and wind direction. A variety of robustness checks validate the causal interpretation of our findings, and further analysis provides richer characterizations of people’s self-protective avoidance behavioural response to air pollution. Our findings are highly valuable for policy-making and provide practical implications to public transport operators.",NA,NA,NA,Snowballing,journalArticle,10.1080/00036846.2023.2301223
"Wan, Liyang; Zhang, Ning",earning reduction caused by air pollution evidence from china,2023,China Economic Review,NA,10.1016/j.chieco.2023.101984,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.chieco.2023.101984
"Gong, Da; Shang, Zhuocheng; Su, Yaqin; Yan, Andong; Zhang, Qi",a systematic evaluation of the economic impacts of china s zero covid policies,2023,SSRN Electronic Journal,NA,10.2139/ssrn.4422902,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.2139/ssrn.4422902
"Xie, Li; Hui, Shimin",low carbon transition policy and employment structure evidence from china s low carbon city pilot,2025,Cities,NA,10.1016/j.cities.2025.105985,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.cities.2025.105985
"Jiang, Mingming; Qi, Jianhong; Zhang, Zhitong",under the same roof the green belt and road initiative and firms heterogeneous responses,2022,Journal of Applied Economics,NA,10.1080/15140326.2022.2036566,NA,"Launched in 2017 the Green Belt and Road policy acts as an important upgrade to China’s recent core foreign strategy (i.e., the Belt and Road Initiative) and aims to balance the economic development and environmental harmony in countries along the routes. In this paper, we take the implementation of this green policy as a quasi-natural experiment and employ a difference-in-difference method to identify the impact of the policy on Chinese outward direct investment (ODI) firms. We find that the policy has a significant and robust effect on improving the overall performance of ODI firms. Under the same policy roof, however, the seemingly similar impact masks the distinct responses of state-owned and non-state-owned enterprises. Non-state-owned enterprises improve their performance by pursuing green credits and technology upgrades. State-owned enterprises achieve improved performance through better compliance with the green policy and the accompanying government subsidies, in addition to technology upgrades.",NA,NA,NA,Snowballing,journalArticle,10.1080/15140326.2022.2036566
"Chen, He; Zhu, Shujin",pollution exposure talent flight and the digital divide evidence from china,0,Journal of Asian Economics,NA,10.1016/j.asieco.2026.102237,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.asieco.2026.102237
"Ma, Tian; Cui, Yuanzheng; Jiang, Fuwei; Wang, Yuejie",pricing air pollution around corporate sites,0,International Review of Financial Analysis,NA,10.1016/j.irfa.2026.105294,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.irfa.2026.105294
"Guo, Aijun; Wang, Jian; Cao, Haoyu",unlocking china s environmental transformation the power of information construction in driving pollution reduction for enterprises,2025,"Environment, Development and Sustainability",NA,10.1007/s10668-025-06048-z,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1007/s10668-025-06048-z
"Zhu, Rui; Ma, Kaili; Chen, Xiyu; Zhao, Jingjing",air pollution and corporate innovation does top management quality mediate and government talent policy moderate,2024,Sustainability,NA,10.3390/su16177615,NA,"<jats:p>Air pollution not only poses significant threats to the physical and mental well-being of individuals, but it also has the potential to trigger a regional brain drain, thus inhibiting corporate innovation performance. This study explores the impact of air pollution on corporate innovation from the perspective of top management quality. We find that lower air quality significantly reduces the quality of corporate top management, thereby reducing their innovation output. However, local government talent attention alleviates the negative impact of air pollution on corporate innovation. Further analysis reveals that the local government’s environmental attention aggravates the negative effects of air pollution on corporate innovation. Finally, executive compensation alleviates the negative impact of air pollution on corporate innovation.</jats:p>",NA,NA,NA,Snowballing,journalArticle,10.3390/su16177615
"Chen, Haiqiang; Fu, Shihe; Lyu, Zhuoyang",air pollution and consumers avoidance behavior evidence from high frequency payment data in china,2026,NA,NA,10.2139/ssrn.6052734,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.2139/ssrn.6052734
"Wang, Xinghua; Wu, Shunchen; Qin, Xiaojuan; La, Meixiang; Zuo, Haixia",informal environment regulation green technology innovation and air pollution quasi natural experiments from prefectural cities in china,2022,Sustainability,NA,10.3390/su14106333,NA,"<jats:p>Facing informal environment regulation carried out by the environmental protection organizations, we study and judge its inhibitory effect on air pollution and the acting path. Based on panel data of 285 cities in China from 1998 to 2018, a time-varying difference-in-difference model is used to estimate the effect of informal environment regulation on air pollution. The estimation results show that informal environment regulation can inhibit air pollution significantly under different scenarios. Green technology innovation is introduced into the research and a mediating effect model is used to investigate the influencing mechanism. Informal environment regulation strengthens pressure on pollutant emissions. This forces enterprises to enhance the investment and application of green technology innovation during production. Mechanism analysis shows that informal environment regulation inhibits air pollution by encouraging the application of green technology innovation. The above conclusions are still valid after a series of robustness tests, including parallel trend, placebo test and instrumental variables. The research conclusions provide empirical evidence for the construction of a diversified air-pollution control system and demonstrate the practical significance of informal environment regulation to improve air quality.</jats:p>",NA,NA,NA,Snowballing,journalArticle,10.3390/su14106333
"Qi, Yu; Zhang, Jianshun; Chen, Jianwei",tax incentives environmental regulation and firms emission reduction strategies evidence from china,2023,Journal of Environmental Economics and Management,NA,10.1016/j.jeem.2022.102750,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.jeem.2022.102750
"Melecky, Martin; Sharma, Siddharth; Subhash, Hari",boosted income busted environment a tradeoff in the wider economic impacts of transport corridor investments,2024,Environment and Development Economics,NA,10.1017/s1355770x23000177,NA,"<jats:title>Abstract</jats:title><jats:p>The literature on the impacts of transport corridors points to a tradeoff between income and environmental quality. We estimate the impacts of India's Golden Quadrilateral and North-South-East-West highways on income and environmental quality to test this tradeoff hypothesis. Applying the difference-in-difference method to district level data, we find that the highways increased both local income and particulate matter air pollution. The estimated increase in air pollution is robust to using an instrumental variables approach, while that in income is not. Examining heterogeneity in these impacts, we find that the income–environment tradeoff was less steep in districts with initially higher educational attainment rates because they experienced a smaller increase in air pollution due to the highways.</jats:p>",NA,NA,NA,Snowballing,journalArticle,10.1017/s1355770x23000177
"Ding, Xiao; Feng, Botao; Wu, Jiahua",the influence of two and three dimensional spatial characteristics of industrial parks on the emotional well being of employees a case study of shenzhen,2024,Applied Geography,NA,10.1016/j.apgeog.2024.103367,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.apgeog.2024.103367
"Yuan, Bo; Wei, Wei; Huang, Xiaopei; Zhou, Yexin",how does air pollution damage residents well being the evidence from china,2024,Applied Economics,NA,10.1080/00036846.2024.2336885,NA,"Air pollution is a prevalent environmental problem facing the world, critically threatening the well-being of human beings. Using the China Genuine Progress indicator Survey dataset, we investigate the impact of air pollution on residents’ well-being in China, and discuss the influencing mechanisms based on the theory of hierarchy of needs. As distinct winter heating policies cause different concentrations of air pollutants across the Qinling-Huaihe line in China, we construct a regression discontinuity design to identify the causal relationship. The results show that air pollution significantly damages residents’ well-being. If annual average air quality index increases by 50 units, residents’ happiness will fall by about 1.774 units. The mechanism analysis shows that air pollution reduces individual utility through increasing residents’ daily expenditure to meet their low-level needs while reducing consumptions for higher-level needs, namely the so-called ‘consumption downgrade’. Heterogeneity analysis shows that residents with higher education levels, middle-income level, longer commute time, and stronger public awareness are more affected by air pollution. In sum, policymakers should highlight the impact of the environment on people’s subjective well-being and formulate appropriate intervention policies to alleviate adverse demographic changes that may harm the sustainable development.",NA,NA,NA,Snowballing,journalArticle,10.1080/00036846.2024.2336885
"Ao, Chon-Kit; Dong, Yilin; Kuo, Pei Fen",industrialization indoor and ambient air quality and elderly mental health,2021,China Economic Review,NA,10.1016/j.chieco.2021.101676,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.chieco.2021.101676
"Wei, Xiahai; Xu, Jiawei; Kuang, Yunming",how does air pollution affect household energy expenditure a micro empirical study based on avoidance behavior,2023,Journal of environmental management,NA,10.1016/j.jenvman.2023.117931,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.jenvman.2023.117931
"Ren, Yayun; Yu, Jian; Zhang, Guanglai; Zhang, Chang; Liao, Wenmei",the short and long run impacts of air pollution on human health new evidence from china,2023,International journal of environmental research and public health,NA,10.3390/ijerph20032385,NA,"Under the background of the far-reaching impact of the COVID-19 epidemic on global economic development, the interactive effect of economic recovery and pollution rebound makes the research topic of air pollution and human health receive attention again. Matching a series of new datasets and employing thermal inversion as an instrumental variable, this study investigates the physical and mental health effect of air pollution jointly in China. We find that in the short run, the above inference holds for both physical and mental health. These short-run influences are credible after a series of robustness checks and vary with different individual characteristics and geographical locations. We also find that in the long run, air pollution only damages mental health. Finally, this study calculates the health cost of air pollution. The above findings indicate that in China, the effect of air pollution on physical and mental health cannot be ignored. The government needs to consider the heterogeneity and long-run and short-run differences in the health effects of air pollution when formulating corresponding environmental and medical policies.",NA,NA,NA,Snowballing,journalArticle,10.3390/ijerph20032385
"Kyrychenko, Olexiy",environmental regulations and air pollution in india a reexamination,2025,Journal of Applied Econometrics,NA,10.1002/jae.3124,NA,"<jats:title>ABSTRACT</jats:title><jats:p>This paper reexamines the effectiveness of environmental regulations in India, originally evaluated by Greenstone and Hanna (2014) using ground‐based monitoring data. Replacing this sparse and inconsistent data with satellite‐based reanalysis data reveals contrasting air pollution trends and notable differences in the evaluation of policies' effectiveness. The findings underscore the importance of reliable data for the accurate assessment of policy outcomes in regions with limited monitoring infrastructure.</jats:p>",NA,NA,NA,Snowballing,journalArticle,10.1002/jae.3124
"Li, Ding; Xiao, Han; Ma, Shuang; Zhang, Jiangxue",health benefits of air quality improvement empirical research based on medical insurance reimbursement data,2022,Frontiers in public health,NA,10.3389/fpubh.2022.855457,NA,"Measuring the health benefits of air quality improvement is a new perspective for evaluating government investment in pollution control. Improving air quality can reduce the burden on medical insurance funds and patients themselves; however, patients with higher reimbursement rates are more affected by air quality changes. This study calculated health benefits using medical insurance reimbursement data from a sample city in China. The results show that for every 10 μg/m3 decrease in PM2.5, patients' average medical cost will decrease by CNY 1,699 (USD 263.6), and the loss of ordinary working and living time will decrease by 1.24 days. PM2.5 has a more significant impact on patients with chronic respiratory diseases and inpatients with circulatory diseases. Suppose the city's annual PM2.5 concentration drops to the national standard of 35 μg/m<sup>3</sup>. In that case, it will bring more than CNY 1.28 billion (USD 198 million) in health benefits, accounting for 18% of the city's annual investment in environmental protection.",NA,NA,NA,Snowballing,journalArticle,10.3389/fpubh.2022.855457
"Ma, Wenjing; Wang, Ruitian; Li, Yunlong; Yang, Junjie",can the policy of income taxes merger reduce air pollution emission of enterprises evidence from china,2024,Finance Research Letters,NA,10.1016/j.frl.2024.106109,NA,"This study examines how a uniform income tax rate affects Chinese domestic and international firms in 2008. Specifically, it investigates how this tax policy affects these enterprises’ air pollution emissions through a difference-in-differences (DID) model. Data suggest that implementing the Policy of Income Taxes Merger can effectively decrease the pollutant emission intensity of enterprises. This program aims to provide tax benefits to Chinese domestic firms while addressing pollution emissions by alleviating financial limitations and enhancing production efficiency.",NA,NA,NA,Snowballing,journalArticle,10.1016/j.frl.2024.106109
"Liu, Peng; Xu, Yuanyuan; Lu, Jiajia",air pollution sustainable development and corporate r d evidence from emerging countries,2024,Journal of environmental management,NA,10.1016/j.jenvman.2024.122368,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.jenvman.2024.122368
"Tang, Lianzhou; Xu, Wenli",patronage and pollution,2025,Journal of Environmental Economics and Management,NA,10.1016/j.jeem.2024.103115,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.jeem.2024.103115
"Jiang, Weijie; Ye, Mengke; Yang, Xingzhe",market access and firms energy intensity evidence from china s highway construction,2025,Journal of Asian Economics,NA,10.1016/j.asieco.2025.101958,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.asieco.2025.101958
"Zhao, Yikai; Jun, Nagayasu; Tian, Jingyi",costs of fighting for blue sky evidence on the short and long term effects,2025,NA,NA,10.2139/ssrn.5252275,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.2139/ssrn.5252275
"Guo, Mengmeng; Zhao, Junyi; Wu, Na",breathing easier air pollution and the health insurance sector,2025,Climate Change and Energy Transition,NA,10.1007/978-981-96-7858-7_7,NA,NA,NA,NA,NA,Snowballing,bookSection,10.1007/978-981-96-7858-7_7
"Ai, Hongshan; Zhou, Zhengqing",green growth the impact of urban forest construction on economic growth in china,2023,Economic Modelling,NA,10.1016/j.econmod.2023.106366,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.econmod.2023.106366
"Jin, Hao; Liu, Wenhan; Chen, Shiyi",centralization and firm pollution emissions evidence from city county merger in china,2023,Journal of Cleaner Production,NA,10.1016/j.jclepro.2023.137964,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.jclepro.2023.137964
"Chen, Liping; Chen, Yuanyuan; Lin, Jiada",what doesn t kill you makes you shorter the effect of prenatal air pollution on height in adulthood,2026,Journal of Economic Behavior & Organization,NA,10.1016/j.jebo.2026.107633,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.jebo.2026.107633
"Li, Sen; Zhang, Yi",environmental risk and stock price crash risk evidence from energy substitution policy adoption,2025,International Review of Economics & Finance,NA,10.1016/j.iref.2025.103977,NA,"Exploring the staggered adoption of energy substitution policy, we investigate the relationship between reduced environmental risk and stock price crash risk. The result shows that stock price crash risk decreases following the policy's passage. Moreover, firms disclose more environmental information (specifically, hard information) following the policy and the policy's effect on crash risk is stronger for firms with higher information asymmetry. These findings are consistent with signaling theory, i.e., reduced environmental risk increases environmental information disclosure, leading to a lower stock price crash risk. Overall, this paper suggests that reduced environmental risk plays a crucial role in decreasing crash risk, providing empirical support for adopting clean energy.",NA,NA,NA,Snowballing,journalArticle,10.1016/j.iref.2025.103977
"Zhao, Nan; Wang, Chenyang; Shi, Chunyan; Liu, Xiaojie",the effect of education expenditure on air pollution evidence from china,2024,Journal of environmental management,NA,10.1016/j.jenvman.2024.121006,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.jenvman.2024.121006
"Zhang, Dongyang; Bai, Dingchuan; He, Yurun; Sun, Qiaobing",synergistic abatement effects of broadband china and environmental regulation firm level evidence,2024,International Review of Financial Analysis,NA,10.1016/j.irfa.2024.103750,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.irfa.2024.103750
"Liu, Ziliang; Zhu, Shengjun; He, Canfei",reducing industrial pollution and inter regional environmental inequality via the world s largest high speed railway network,2024,PNAS nexus,NA,10.1093/pnasnexus/pgae507,NA,"Industrial pollution and the associated spatial environmental inequality increase health risks and hinder sustainable development, particularly in low- and middle-income countries. Large-scale public transportation infrastructure that connects developed and developing cities, exemplified by high-speed railway (HSR), has the potential to be an effective instrument. Here, we provide nationwide micro-level estimates for the overall and distributional environmental impacts of HSR in a middle-income context. Using over half-a-million emission records of industrial firms during the rapid expansion of Chinese HSR, the world's largest HSR program, we find significant reductions in firm emissions after HSR opening (by 5.11-13.80%). The contributions come via facilitating intercity element flows like (green) technologies and lowering emission intensities. At the aggregate level, the HSR-driven emission reductions account for 0.49-1.70% of the overall emissions during the study period. Last, we examine the geographical distributional impacts of HSR. Both our between-city and within-city analyses reveal that laggard areas benefit more from HSR connection, thereby contributing to inter-regional environmental equality.",NA,NA,NA,Snowballing,journalArticle,10.1093/pnasnexus/pgae507
"Bo, Shiyu; Zhang, Fan; Zhu, Hongjia",moving to opportunity for polluting intra city evidence from china s land market,2023,SSRN Electronic Journal,NA,10.2139/ssrn.4515902,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.2139/ssrn.4515902
"Zuo, Wenbin; Chen, Fanglin",do airports create jobs evidence from online job sites,2025,Cities,NA,10.1016/j.cities.2025.106383,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.cities.2025.106383
"Du, Kerui; Wang, Luojia; Xie, Lumeng; Lin, Boqiang",assessing the impact of environmental regulations on environmental performance in chinese cities a spatial stochastic frontier model with endogeneity analysis,2024,Environmental research,NA,10.1016/j.envres.2024.119123,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.envres.2024.119123
"Zhao, Rui; Liang, Dawei; Pan, Yukun; Du, Qianqian",air pollution and employee protection the moderating effect of public attention and environmental regulations,2022,Sustainability,NA,10.3390/su141811529,NA,"<jats:p>Air pollution is imposing substantial health and economic burdens on billions of people around the world. Although the impacts of air pollution on human health and economic growth have long been recognized, empirical evidence on whether and how air pollution affects firms’ employee protection remains unclear. Using a sample of publicly listed Chinese firms from 2010 to 2019, we show that air pollution can significantly increase firms’ employee protection. The results indicate that employee protection is an effective substitute for poor air quality in firm headquarters. Further analyses suggest that public pressure enhances the influence of air pollution on firms’ labor protection, while environmental regulation lessens the positive relationship between air pollution and employee treatment. Overall, we emphasize that air pollution is a significant non-economic determinant affecting firms’ human capital stock and employee treatment strategy. This study would be of particular interest to economists, managers, and regulators who are concerned about designing optimal environmental and welfare policies.</jats:p>",NA,NA,NA,Snowballing,journalArticle,10.3390/su141811529
"Zhao, Xiaolei; Zhao, Ziyao; Mao, Yumeng; Li, Xuemei",the role of air pollution in electric vehicle adoption evidence from china,2024,Transport Policy,NA,10.1016/j.tranpol.2024.05.022,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.tranpol.2024.05.022
"He, Shaoli; Wu, Xianhua; Wang, Jun",comprehensive economic impact assessment of regional shipping emissions a case study of shanghai china,2024,Marine pollution bulletin,NA,10.1016/j.marpolbul.2024.117368,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.marpolbul.2024.117368
"Zhang, Li; Liu, Yuhai; Hu, Jin-Li; Liu, Tiebin; Liao, Sainan",environmental regulation and firm exports evidence from a quasi natural experiment in china,2022,Sustainability,NA,10.3390/su14031084,NA,"<jats:p>This research studies the impact of a unique environmental regulatory policy called mandatory Cleaner Production Audit on firm exports from China using matched firm-level data. Employing the difference-in-differences approach to examine this effect shows that firms subject to the mandatory Cleaner Production Audit suffer a relative decline in exports, and this negative effect is stronger when the implementation of mandatory Cleaner Production Audit was substantially improved in the later stage. Heterogeneity analyses present that the stringent environmental regulations barely affect state-owned firms, whereas they are a strong influence on private firms located in the eastern region of China, and have a much larger negative effect on exports of small-size firms relative to large-size firms. Mechanism discussions show that there are both the compliance costs effect and the innovation offsets effect, but the benefits from the innovation offsets effect do not appear to be large enough to outweigh the compliance costs effect for the regulated firms.</jats:p>",NA,NA,NA,Snowballing,journalArticle,10.3390/su14031084
"Wu, Qian; Hong, Song; Yang, Lu; Mu, Hang; Huang, Chaoqing; Niu, Xiaoxiao; Zhong, Yanmei; Yi, Jiahui; He, Chao",coupling coordination relationships between air pollutant concentrations and emissions in china,2023,Atmospheric Pollution Research,NA,10.1016/j.apr.2023.101678,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.apr.2023.101678
"Ai, Hongshan; Tan, Xiaoqing; Zhou, Shengwen; Zhou, Yuhan; Xing, Hongye",the impact of environmental regulation on carbon emissions evidence from china,2023,Economic Analysis and Policy,NA,10.1016/j.eap.2023.09.032,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.eap.2023.09.032
"Benson, Michelle; Guo, Chao; Neely, Daniel G.; Saxton, Gregory D.",dirty air empty coffers nonprofit donations and volunteering in the context of severe air pollution,2025,"Journal of Public Budgeting, Accounting & Financial Management",NA,10.1108/jpbafm-10-2024-0192,NA,"<jats:sec> <jats:title>Purpose</jats:title> <jats:p>Poor environmental conditions pose profound societal challenges, yet their impact on the nonprofit sector, particularly in terms of financial and organizational sustainability, remains largely unexplored. To address this concern, we investigate how hazardous air quality influences donations and volunteering in nonprofit organizations.</jats:p> </jats:sec> <jats:sec> <jats:title>Design/methodology/approach</jats:title> <jats:p>Combining county-level US EPA air quality data with 1.63 million IRS Form 990 filings by 248,749 nonprofits between 2010 and 2022, we examine the impact of air pollution on organizations across time and space. Instrumental variables regression and entropy-balancing techniques are employed to address potential endogeneity concerns. Additional analyses examine the roles of industry sub-sector, service orientation, donor sophistication and government funding in conditioning the relationship between air pollution and our two outcome variables.</jats:p> </jats:sec> <jats:sec> <jats:title>Findings</jats:title> <jats:p>Organizations in areas experiencing more hazardous air quality days are associated with lower levels of donations but higher levels of volunteering. Additional cross-sectional analyses suggest that environmental, health and human service nonprofits experience increased donations in the context of severe air pollution while arts and mutual benefit organizations see increased volunteering. Additional analyses on the conditioning effects of donor sophistication, service orientation, and government funding provide further insights into the empirical relationship between air pollution and nonprofit engagement.</jats:p> </jats:sec> <jats:sec> <jats:title>Originality/value</jats:title> <jats:p>This study provides one of the first large-N examinations of the organizational impact of localized environmental factors on charitable activity. In providing evidence for how air quality appears to be a robust, but underexplored factor affecting donor and volunteer behavior, our study underscores the importance of understanding how environmental challenges influence civic engagement.</jats:p> </jats:sec>",NA,NA,NA,Snowballing,journalArticle,10.1108/jpbafm-10-2024-0192
"Kim, Yushin; Kim, Jungin; Cho, Sunghyun; Sim, Hyein; Kim, Ji-Young",enhancing environmental policy decisions in korea and japan through ai driven air pollution forecast,2024,Sustainability,NA,10.3390/su162310436,NA,"<jats:p>(1) Background: Although numerous artificial intelligence (AI)-based air pollution prediction models have been proposed, research that links key pollution drivers, such as regional industrial facilities, to actionable policy recommendations is required. (2) Methods: This study employs the radial basis function (RBF) and spatial lag features to capture spatial interactions among regions, utilizing a transformer model for analysis. The model was trained on air quality and industrial data from South Korea (2010–2022) and Japan (2017–2020). (3) Results: The transformer model achieved a mean squared error of 0.045 for the Korean dataset and 0.166 for the Japanese dataset, outperforming benchmark models, including Support Vector Regression, neural networks, and the AutoRegressive Integrated Moving Average model. (4) Conclusions: By capturing complex spatial dynamics, the proposed model provides valuable insights that can assist policymakers in developing effective, data-driven strategies for air pollution reduction at the national and regional levels, thereby supporting the broader goals of sustainability through informed, equitable environmental interventions.</jats:p>",NA,NA,NA,Snowballing,journalArticle,10.3390/su162310436
"Wang, Jiaxin; Huang, Hongyan; Huang, Xiang; Sun, Di; Song, Zilong",returning from overseas stems migration and corporate digitalization,2024,International Review of Financial Analysis,NA,10.1016/j.irfa.2023.103042,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.irfa.2023.103042
"Ahmed, Mohamed Shaker; Mertzanis, Charilaos",right to work laws and firm productivity in u s firms,2025,Industrial Relations Journal,NA,10.1111/irj.12468,NA,"<jats:title>ABSTRACT</jats:title><jats:p>We investigate the impact of Right‐to‐Work (RTW) laws on firm‐level total factor productivity (TFP) in U.S. firms. We find that RTW laws, which reduce union bargaining power, are associated with a decrease in firm‐level TFP, particularly for firms adopting innovation‐driven strategies or facing financial constraints. These effects are robust across various models and endogeneity treatments, emphasising the importance of internal and external factors in assessing labour policy impacts. Weakening labour protection and limiting union influence may reduce worker engagement, weaken bargaining power, and ultimately hinder productivity. The study contributes to the literature by empirically linking RTW adoption with TFP and expanding the discussion on labour market policies as determinants of productivity. It also highlights the roles of business strategy, market dynamism, and financial constraints in mitigating the corporate effects of RTW laws. The research provides insights for policymakers and business leaders, emphasising the need for balanced labour market policies that support both corporate flexibility and worker engagement to sustain productivity.</jats:p>",NA,NA,NA,Snowballing,journalArticle,10.1111/irj.12468
"Chen, Xing; Wang, Xuan; Xi, Tianyang; Xu, Jintao",estimating the co2 marginal abatement cost and implications for climate policies in china s industrial sector a firm level analysis,2023,China Economic Journal,NA,10.1080/17538963.2023.2244281,NA,"This paper presents an in-depth analysis of the Marginal Abatement Cost Curve (MACC) for CO2 of China’s industrial sector. Leveraging comprehensive firm-level panel data spanning the period 2011–2015, we employ a parameterized directional output distance function to estimate the shadow price of CO2. By doing so, we derive the marginal abatement cost for individual firms across different years, which provides crucial insights into two fundamental aspects: first, the variation in shadow prices as indicators of the economic efficiency of existing climate policies; and second, the carbon price levels necessary to achieve CO2 mitigation targets in the future. Furthermore, we conduct scenario simulations to assess the potential industrial output loss resulting from forthcoming carbon policies, such as the European Union’s Carbon Border Adjustment Mechanism (CBAM). Our findings underscore the necessity for a considerably higher tax rate to stimulate pollution reduction in order to meet the desired emission targets.",NA,NA,NA,Snowballing,journalArticle,10.1080/17538963.2023.2244281
"Huo, Zhuoxiang",environmental protection supervision and firm investment decision,2023,SSRN Electronic Journal,NA,10.2139/ssrn.4621278,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.2139/ssrn.4621278
"Xu, Hao; Xu, Jingxuan; Wang, Jie; Hou, Xiang",reduce production or increase efficiency hazardous air pollutants regulation energy use and the synergistic effect on industrial enterprises carbon emission,2023,Energy Economics,NA,10.1016/j.eneco.2023.107027,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.eneco.2023.107027
"Jin, Zhaofeng; Luo, Ying; Liu, Wenzhao; Chen, Shun",thermal inversion and risk of incident cardiovascular disease in china a national cohort study,2026,Human and Ecological Risk Assessment: An International Journal,NA,10.1080/10807039.2025.2611959,NA,"Thermal inversion may exacerbate pollutant accumulation and elevate cardiovascular risk, yet its health impacts remain inadequately defined. We conducted a secondary analysis using data from the China Health and Retirement Longitudinal Study, which followed 7,865 participants from 2011 to 2020. Annual mean inversion intensity (AMII) and inversion occurrence were estimated using MERRA-2 reanalysis data at 850–1000 hPa and 700–1000 hPa pressure layers. Cox proportional hazards models, restricted cubic splines, and Local Moran’s I statistics were employed to assess exposure–response associations and spatial clustering. During follow-up, 1,803 participants (22.9%) developed cardiovascular disease (CVD). Compared to unexposed individuals, annual inversion occurrence was associated with a 61–62% increased risk of CVD. Spatial analysis revealed significant clustering of high CVD risk in central and eastern China. Participants in the highest quartile of AMII (850–1000 hPa) had a 56% higher risk of CVD compared to those in the lowest quartile. A J-shaped relationship was observed, with CVD risk increasing sharply above −1.08 °C (850–1000 hPa) and −2.80 °C (700–1000 hPa), corresponding to 190% and 62% risk increases, respectively. These findings support incorporating inversion monitoring into warnings and policies, offering a new meteorological angle on CVD risk.",NA,NA,NA,Snowballing,journalArticle,10.1080/10807039.2025.2611959
"Cui, Huan-yu; Cao, Yue-qun",does the baby that cries get milk direct and indirect effects of public participation on environmental governance in china,2026,World Development,NA,10.1016/j.worlddev.2025.107235,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.worlddev.2025.107235
